Gene	sgRNA	time|beta	time|z	time|p-value	time|fdr	time|wald-p-value	time|wald-fdr	common|beta	common|z	common|p-value	common|fdr	common|wald-p-value	common|wald-fdr	BG11_Control|beta	BG11_Control|z	BG11_Control|p-value	BG11_Control|fdr	BG11_Control|wald-p-value	BG11_Control|wald-fdr	BG11_Lys|beta	BG11_Lys|z	BG11_Lys|p-value	BG11_Lys|fdr	BG11_Lys|wald-p-value	BG11_Lys|wald-fdr
sll1927	5	0.017931	1.4704	0.19793	0.87782	0.14146	0.32597	0.0022414	1.4704	0.19793	0.87782	0.14146	0.32597	0.1705	2.3819	0.040445	0.47285	0.017223	0.10395	-0.16826	-2.3498	0.043962	0.49779	0.018784	0.10814
ssl2559	4	0.0089058	1.2793	0.50918	0.99779	0.20079	0.39925	0.0011132	1.2793	0.50918	0.99779	0.20079	0.39925	-0.059889	-1.4653	0.43787	0.97343	0.14283	0.37059	0.061003	1.4924	0.42868	0.97166	0.13561	0.35812
sll1921	5	-0.0055517	-0.55596	0.71688	0.99804	0.57824	0.73912	-0.00069396	-0.55596	0.71688	0.99804	0.57824	0.73912	-0.064485	-1.1013	0.39136	0.96649	0.27077	0.52048	0.063791	1.0893	0.39449	0.9637	0.276	0.52356
gltS	5	0.0087781	0.95938	0.49043	0.99779	0.33737	0.54144	0.0010973	0.95938	0.49043	0.99779	0.33737	0.54144	0.031955	0.59653	0.60219	0.99097	0.55082	0.7538	-0.030857	-0.576	0.61665	0.99154	0.56462	0.75893
sll1072	5	-0.15133	-6.9548	0	0	3.5297e-12	3.474e-10	-0.018916	-6.9548	0	0	3.5297e-12	3.474e-10	-0.033353	-0.26154	0.64693	0.99104	0.79368	0.89687	0.014436	0.11319	0.85737	0.9919	0.90988	0.96026
ackA	5	0.010815	1.7959	0.39879	0.99078	0.072518	0.21961	0.0013518	1.7959	0.39879	0.99078	0.072518	0.21961	-0.0025118	-0.071068	0.99394	0.99823	0.94334	0.97726	0.0038636	0.1093	0.98789	0.99843	0.91297	0.96118
rpoA	5	-0.057538	-4.8146	0.012114	0.19683	1.4752e-06	3.4689e-05	-0.0071923	-4.8146	0.012114	0.19683	1.4752e-06	3.4689e-05	-0.08246	-1.175	0.29445	0.92967	0.23999	0.48761	0.075268	1.0724	0.32923	0.94134	0.28353	0.52901
sll1939	5	0.0081037	1.5451	0.52501	0.99779	0.12233	0.29842	0.001013	1.5451	0.52501	0.99779	0.12233	0.29842	0.10418	3.393	0.15397	0.77635	0.0006912	0.011302	-0.10316	-3.3597	0.16022	0.78922	0.00078023	0.012101
argH	5	0.0041429	0.84547	0.74717	0.99804	0.39785	0.59653	0.00051787	0.84547	0.74717	0.99804	0.39785	0.59653	0.060823	2.1207	0.35971	0.94977	0.033946	0.15719	-0.060306	-2.1025	0.36753	0.94952	0.035511	0.15982
slr1699	5	-0.010538	-1.2696	0.5295	0.99779	0.20421	0.40384	-0.0013173	-1.2696	0.5295	0.99779	0.20421	0.40384	-0.12085	-2.481	0.18523	0.82496	0.013102	0.087314	0.11953	2.4538	0.18914	0.8309	0.014137	0.091217
slr1384	5	-0.0022444	-0.23364	0.88199	0.99804	0.81527	0.89379	-0.00028054	-0.23364	0.88199	0.99804	0.81527	0.89379	0.20536	3.6525	0.015631	0.27972	0.00025966	0.0055144	-0.20564	-3.6572	0.015826	0.28125	0.00025503	0.0053495
acp	5	-0.10804	-6.0705	0.00019539	0.0092593	1.2749e-09	6.591e-08	-0.013505	-6.0705	0.00019539	0.0092593	1.2749e-09	6.591e-08	0.20075	1.9164	0.018562	0.3125	0.055318	0.21164	-0.21426	-2.0448	0.011528	0.22015	0.040878	0.17464
slr2048	5	-0.041185	-4.6605	0.047089	0.44879	3.1548e-06	6.6998e-05	-0.0051481	-4.6605	0.047089	0.44879	3.1548e-06	6.6998e-05	0.21098	4.0573	0.0127	0.23723	4.9652e-05	0.001629	-0.21613	-4.155	0.010746	0.20833	3.2533e-05	0.0011483
glcF	5	-0.025321	-2.6498	0.19011	0.86106	0.0080541	0.051609	-0.0031652	-2.6498	0.19011	0.86106	0.0080541	0.051609	0.025588	0.45633	0.66491	0.99194	0.64815	0.8133	-0.028753	-0.51271	0.63423	0.99154	0.60815	0.78599
argD	5	-0.03789	-3.0193	0.063111	0.52769	0.002534	0.021687	-0.0047362	-3.0193	0.063111	0.52769	0.002534	0.021687	0.21641	2.925	0.010746	0.21073	0.0034444	0.035399	-0.22114	-2.9879	0.0093787	0.18824	0.0028094	0.030463
sll1751	5	0.00029189	0.059022	0.97636	0.99804	0.95293	0.97566	3.6486e-05	0.059022	0.97636	0.99804	0.95293	0.97566	0.044952	1.5538	0.48183	0.9778	0.12022	0.338	-0.044916	-1.5525	0.48867	0.97806	0.12054	0.33548
slr1912	5	0.0086826	1.8934	0.49316	0.99779	0.058306	0.1936	0.0010853	1.8934	0.49316	0.99779	0.058306	0.1936	-0.020295	-0.75639	0.78546	0.99194	0.44942	0.6777	0.021381	0.79679	0.77237	0.99154	0.42557	0.65823
chlI	5	-0.07498	-5.3167	0.0023447	0.060606	1.0567e-07	3.3802e-06	-0.0093725	-5.3167	0.0023447	0.060606	1.0567e-07	3.3802e-06	-0.017128	-0.20628	0.82884	0.99194	0.83657	0.92216	0.007755	0.093382	0.94216	0.99843	0.9256	0.96757
tyrS	5	0.013031	1.4382	0.31555	0.95599	0.15038	0.33604	0.0016288	1.4382	0.31555	0.95599	0.15038	0.33604	0.13088	2.4676	0.093005	0.66343	0.013602	0.089375	-0.12925	-2.4367	0.096327	0.67166	0.014824	0.093779
sll1575	5	0.0074638	2.4382	0.55588	0.99779	0.01476	0.07902	0.00093297	2.4382	0.55588	0.99779	0.01476	0.07902	0.019487	1.0887	0.73427	0.99194	0.27627	0.52621	-0.018554	-1.0366	0.75342	0.99154	0.29993	0.54687
sll1574	5	0.0077712	1.9003	0.5422	0.99779	0.057395	0.19212	0.00097139	1.9003	0.5422	0.99779	0.057395	0.19212	-0.0096505	-0.40329	0.92321	0.99664	0.68674	0.83804	0.010622	0.44385	0.9068	0.99701	0.65715	0.81693
sll1573	5	-0.0022633	-0.51325	0.88179	0.99804	0.60777	0.76072	-0.00028291	-0.51325	0.88179	0.99804	0.60777	0.76072	0.030812	1.1951	0.61176	0.99097	0.23205	0.47986	-0.031095	-1.206	0.61528	0.99154	0.22781	0.47185
slr2038	5	-0.0030248	-0.54367	0.83744	0.99804	0.58667	0.74515	-0.0003781	-0.54367	0.83744	0.99804	0.58667	0.74515	-0.054299	-1.6687	0.45799	0.97343	0.09517	0.29449	0.053921	1.657	0.45858	0.97345	0.097512	0.29769
sll1571	5	-0.010616	-0.7782	0.52657	0.99779	0.43645	0.63003	-0.001327	-0.7782	0.52657	0.99779	0.43645	0.63003	-0.060949	-0.76338	0.41403	0.96864	0.44524	0.67578	0.059622	0.74671	0.42243	0.9665	0.45524	0.68291
sll1570	5	0.0057196	1.6625	0.65338	0.99804	0.096404	0.26051	0.00071495	1.6625	0.65338	0.99804	0.096404	0.26051	-0.043075	-2.1395	0.54728	0.98143	0.032396	0.15267	0.04379	2.1749	0.54103	0.98127	0.029639	0.14297
sll0985	5	0.048061	1.2238	0.042009	0.42323	0.22104	0.42165	0.0060076	1.2238	0.042009	0.42323	0.22104	0.42165	-0.24522	-1.0672	0.092028	0.66059	0.28588	0.53486	0.25123	1.0933	0.091442	0.66102	0.27424	0.52176
slr2034	5	0.0047576	0.88904	0.71161	0.99804	0.37398	0.57756	0.0005947	0.88904	0.71161	0.99804	0.37398	0.57756	0.080817	2.5797	0.25264	0.89601	0.0098878	0.071782	-0.080223	-2.5605	0.26182	0.90847	0.010452	0.074297
slr2037	5	0.0039762	0.91611	0.75987	0.99804	0.35961	0.56266	0.00049703	0.91611	0.75987	0.99804	0.35961	0.56266	0.056262	2.2125	0.39058	0.96649	0.026933	0.13532	-0.055765	-2.1927	0.39977	0.96373	0.028332	0.13823
slr2031	5	-0.054075	-5.0389	0.016217	0.23513	4.6834e-07	1.2724e-05	-0.0067593	-5.0389	0.016217	0.23513	4.6834e-07	1.2724e-05	-0.0070457	-0.11086	0.95213	0.99664	0.91173	0.96097	0.00028639	0.0045048	0.96971	0.99843	0.99641	0.99855
sll0980	5	0.013065	1.7783	0.31399	0.95541	0.075353	0.22448	0.0016331	1.7783	0.31399	0.95541	0.075353	0.22448	-0.013488	-0.3124	0.8728	0.99664	0.75474	0.87682	0.015121	0.35015	0.84682	0.99154	0.72623	0.85958
sll0983	5	-0.010603	-1.5646	0.52696	0.99779	0.11768	0.29111	-0.0013254	-1.5646	0.52696	0.99779	0.11768	0.29111	-0.029354	-0.73998	0.68992	0.99194	0.45931	0.68715	0.028029	0.70653	0.69734	0.99154	0.47986	0.69617
sll0982	5	0.0045034	0.9639	0.72685	0.99804	0.33509	0.53914	0.00056292	0.9639	0.72685	0.99804	0.33509	0.53914	-0.039281	-1.4317	0.58656	0.99076	0.15223	0.38206	0.039844	1.452	0.57952	0.98735	0.14651	0.3736
slr1385	5	-0.005091	-1.1805	0.73349	0.99804	0.23781	0.4394	-0.00063637	-1.1805	0.73349	0.99804	0.23781	0.4394	0.01505	0.59624	0.78585	0.99194	0.55101	0.75383	-0.015686	-0.62142	0.78449	0.99154	0.53433	0.73874
slr2010	5	0.0026217	0.50198	0.84388	0.99804	0.61568	0.76463	0.00032772	0.50198	0.84388	0.99804	0.61568	0.76463	-0.025861	-0.84175	0.72098	0.99194	0.39993	0.63785	0.026189	0.85223	0.71727	0.99154	0.39408	0.63167
slr1847	5	-0.0093162	-1.2832	0.57034	0.99779	0.19943	0.39716	-0.0011645	-1.2832	0.57034	0.99779	0.19943	0.39716	0.021915	0.51377	0.70516	0.99194	0.60741	0.78583	-0.023079	-0.54097	0.69754	0.99154	0.58853	0.77154
ssr3465	5	-0.0022883	-0.396	0.87925	0.99804	0.6921	0.81729	-0.00028604	-0.396	0.87925	0.99804	0.6921	0.81729	0.015699	0.46367	0.77843	0.99194	0.64289	0.81042	-0.015985	-0.47206	0.78116	0.99154	0.63688	0.80304
ssr3467	5	0.010903	2.0254	0.39508	0.99029	0.042823	0.1608	0.0013629	2.0254	0.39508	0.99029	0.042823	0.1608	0.069866	2.2092	0.30832	0.93739	0.027164	0.13603	-0.068503	-2.1655	0.31887	0.93421	0.030353	0.14501
sll1911	5	-0.00052236	-0.078221	0.97714	0.99804	0.93765	0.96869	-6.5295e-05	-0.078221	0.97714	0.99804	0.93765	0.96869	0.034916	0.89043	0.57327	0.98456	0.37323	0.616	-0.034981	-0.89193	0.57855	0.98735	0.37243	0.61309
ssr2857	5	0.0056166	1.291	0.66061	0.99804	0.19669	0.394	0.00070208	1.291	0.66061	0.99804	0.19669	0.394	-0.0076285	-0.29992	0.94529	0.99664	0.76424	0.88299	0.0083306	0.32751	0.93572	0.99843	0.74328	0.86834
sll1913	5	0.0093156	1.4501	0.46581	0.99779	0.14704	0.3321	0.0011644	1.4501	0.46581	0.99779	0.14704	0.3321	0.0066341	0.17629	0.88433	0.99664	0.86007	0.93596	-0.0054697	-0.14533	0.90094	0.99698	0.88445	0.9464
sll1912	5	-0.010613	-1.2569	0.52677	0.99779	0.20879	0.40936	-0.0013267	-1.2569	0.52677	0.99779	0.20879	0.40936	-0.024429	-0.49404	0.73837	0.99194	0.62128	0.79469	0.023102	0.46717	0.75303	0.99154	0.64038	0.80467
sll1915	5	-0.043585	-4.9831	0.038101	0.39634	6.2587e-07	1.626e-05	-0.0054481	-4.9831	0.038101	0.39634	6.2587e-07	1.626e-05	-0.028074	-0.54736	0.70145	0.99194	0.58413	0.77301	0.022626	0.4411	0.75694	0.99154	0.65914	0.81833
slr2015	5	0.0059129	1.3358	0.63951	0.99804	0.1816	0.37563	0.00073911	1.3358	0.63951	0.99804	0.1816	0.37563	-0.050817	-1.9627	0.48515	0.9781	0.049687	0.19909	0.051556	1.9911	0.47812	0.97509	0.04647	0.18861
sll1916	5	-0.012613	-1.9368	0.45897	0.99779	0.052776	0.1824	-0.0015766	-1.9368	0.45897	0.99779	0.052776	0.1824	-0.00054329	-0.014225	0.96698	0.99664	0.98865	0.99526	-0.0010334	-0.027054	0.95526	0.99843	0.97842	0.99061
sll1582	5	0.013602	2.7386	0.29562	0.94628	0.0061709	0.042279	0.0017003	2.7386	0.29562	0.94628	0.0061709	0.042279	-0.044208	-1.5165	0.53673	0.98134	0.1294	0.35059	0.045908	1.5746	0.52149	0.98127	0.11536	0.328
slr1708	5	0.008631	2.1967	0.49551	0.99779	0.02804	0.12067	0.0010789	2.1967	0.49551	0.99779	0.02804	0.12067	-0.044629	-1.9415	0.53243	0.98134	0.052202	0.20375	0.045708	1.9883	0.52384	0.98127	0.046778	0.18911
sll1584	5	0.002579	0.73712	0.84701	0.99804	0.46105	0.6493	0.00032238	0.73712	0.84701	0.99804	0.46105	0.6493	-0.010314	-0.50406	0.91559	0.99664	0.61422	0.78966	0.010636	0.51979	0.9066	0.99701	0.60321	0.78217
slr1028	5	0.0011266	0.22494	0.93103	0.99804	0.82202	0.89827	0.00014083	0.22494	0.93103	0.99804	0.82202	0.89827	-0.0068669	-0.23358	0.95408	0.99664	0.81531	0.91088	0.0070077	0.23833	0.95096	0.99843	0.81162	0.90653
sll1749	5	0.012055	1.4817	0.34799	0.97112	0.13841	0.32126	0.0015069	1.4817	0.34799	0.97112	0.13841	0.32126	0.090781	1.9085	0.20789	0.85064	0.056323	0.21369	-0.089274	-1.8768	0.21786	0.86486	0.06055	0.21947
slr1023	5	0.0034189	0.93504	0.79445	0.99804	0.34977	0.55284	0.00042737	0.93504	0.79445	0.99804	0.34977	0.55284	0.045398	2.1209	0.47831	0.9778	0.033928	0.15719	-0.04497	-2.1008	0.48789	0.97692	0.035662	0.15982
merA	5	0.0056725	1.076	0.65729	0.99804	0.28194	0.48839	0.00070907	1.076	0.65729	0.99804	0.28194	0.48839	-0.006437	-0.20794	0.95877	0.99664	0.83528	0.9216	0.0071461	0.2308	0.94979	0.99843	0.81747	0.90933
sll1285	5	0.0064345	1.5325	0.60981	0.99779	0.12541	0.30261	0.00080431	1.5325	0.60981	0.99779	0.12541	0.30261	0.03048	1.2406	0.61293	0.99097	0.21476	0.4599	-0.029676	-1.2077	0.62661	0.99154	0.22714	0.47133
slr1025	5	0.0030825	0.66353	0.81555	0.99804	0.50699	0.6827	0.00038532	0.66353	0.81555	0.99804	0.50699	0.6827	0.022515	0.82497	0.69812	0.99194	0.40939	0.64568	-0.02213	-0.81069	0.71043	0.99154	0.41754	0.65115
slr1024	5	-0.001001	-0.31444	0.95037	0.99804	0.75319	0.85496	-0.00012512	-0.31444	0.95037	0.99804	0.75319	0.85496	-0.0016694	-0.089521	0.98261	0.99664	0.92867	0.969	0.0015443	0.082803	0.98339	0.99843	0.93401	0.9722
rps13	5	-0.048493	-3.8064	0.025205	0.31387	0.00014102	0.0018894	-0.0060616	-3.8064	0.025205	0.31387	0.00014102	0.0018894	0.027629	0.36817	0.64322	0.99097	0.71274	0.85266	-0.033691	-0.44885	0.58734	0.99124	0.65354	0.81402
sll0998	5	-0.015228	-0.95965	0.38472	0.98352	0.33723	0.54144	-0.0019036	-0.95965	0.38472	0.98352	0.33723	0.54144	0.71026	7.6379	0	0	2.2083e-14	5.6511e-11	-0.71217	-7.6569	0	0	1.9046e-14	4.874e-11
serS	5	-0.0060845	-1.065	0.69168	0.99804	0.28686	0.49237	-0.00076057	-1.065	0.69168	0.99804	0.28686	0.49237	0.057596	1.7205	0.38296	0.96647	0.085339	0.27626	-0.058357	-1.743	0.38296	0.96078	0.08133	0.26648
sll0981	5	0.046138	1.9753	0.044939	0.44146	0.04823	0.17358	0.0057672	1.9753	0.044939	0.44146	0.04823	0.17358	0.02869	0.20842	0.63286	0.99097	0.8349	0.9216	-0.022923	-0.16643	0.69891	0.99154	0.86782	0.93663
ssr3452	2	-0.0078584	-1.1756	0.60199	0.99779	0.23975	0.44118	-0.00098231	-1.1756	0.60199	0.99779	0.23975	0.44118	-0.018693	-0.47789	0.86225	0.99664	0.63273	0.80416	0.017711	0.45274	0.86987	0.99375	0.65074	0.81231
sll0992	5	-0.0015293	-0.17562	0.92048	0.99804	0.86059	0.92357	-0.00019116	-0.17562	0.92048	0.99804	0.86059	0.92357	-0.057149	-1.1179	0.43865	0.97343	0.26361	0.51436	0.056958	1.114	0.43884	0.97294	0.26527	0.51252
sll0993	5	-0.0016117	-0.36698	0.91579	0.99804	0.71363	0.82971	-0.00020147	-0.36698	0.91579	0.99804	0.71363	0.82971	0.0046766	0.18164	0.90797	0.99664	0.85586	0.93317	-0.0048781	-0.18944	0.90875	0.99701	0.84975	0.92828
sll0990	5	0.007699	1.3955	0.54631	0.99779	0.16288	0.35337	0.00096237	1.3955	0.54631	0.99779	0.16288	0.35337	-0.035994	-1.1152	0.62192	0.99097	0.26478	0.5153	0.036957	1.1449	0.6102	0.99154	0.25225	0.49768
sll0996	5	0.033674	2.665	0.079328	0.58501	0.0076984	0.049811	0.0042092	2.665	0.079328	0.58501	0.0076984	0.049811	-0.19167	-2.5938	0.11782	0.70561	0.0094913	0.070169	0.19588	2.6508	0.11782	0.71108	0.0080311	0.061075
sll0997	5	0.012034	2.0394	0.34916	0.9712	0.041413	0.15753	0.0015043	2.0394	0.34916	0.9712	0.041413	0.15753	-0.10545	-3.0549	0.21434	0.85837	0.0022515	0.025837	0.10696	3.0983	0.21317	0.85904	0.0019461	0.022844
sll0994	5	-0.00090431	-0.18786	0.95662	0.99804	0.85099	0.91827	-0.00011304	-0.18785	0.95662	0.99804	0.85099	0.91827	-0.065243	-2.3156	0.38589	0.96649	0.020578	0.11498	0.065129	2.3115	0.38667	0.9612	0.020806	0.115
sll0995	5	-0.13818	-7.0316	0	0	2.042e-12	2.0902e-10	-0.017273	-7.0316	0	0	2.042e-12	2.0902e-10	-0.024098	-0.20822	0.74228	0.99194	0.83506	0.9216	0.0068251	0.058962	0.95213	0.99843	0.95298	0.97998
slr1149	5	0.011728	1.0155	0.36108	0.98043	0.30986	0.51377	0.0014659	1.0155	0.36108	0.98043	0.30986	0.51377	-0.072091	-1.0657	0.34682	0.94939	0.28656	0.53514	0.073557	1.0873	0.33802	0.9459	0.27691	0.52471
sll1920	5	-0.0015505	-0.31485	0.91891	0.99804	0.75287	0.85494	-0.00019381	-0.31485	0.91891	0.99804	0.75287	0.85494	-0.0010252	-0.03556	0.97421	0.99664	0.97163	0.9872	0.00083134	0.028835	0.97577	0.99843	0.977	0.99015
sll1284	5	0.0040658	0.70372	0.75205	0.99804	0.48161	0.66451	0.00050823	0.70372	0.75205	0.99804	0.48161	0.66451	-0.05238	-1.5503	0.47245	0.97626	0.12107	0.33859	0.052888	1.5653	0.46815	0.97509	0.11751	0.33137
phoH	5	-0.0030522	-0.64153	0.83685	0.99804	0.52118	0.69499	-0.00038152	-0.64153	0.83685	0.99804	0.52118	0.69499	-0.01561	-0.56041	0.84701	0.99245	0.5752	0.76824	0.015228	0.54667	0.84486	0.99154	0.5846	0.77014
rpl36	2	-0.1023	-4.2711	0.01485	0.22029	1.9452e-05	0.00032748	-0.012787	-4.2711	0.01485	0.22029	1.9452e-05	0.00032748	0.17784	1.2646	0.12642	0.72452	0.20602	0.45021	-0.19063	-1.3552	0.11254	0.7033	0.17535	0.40997
fur	5	0.014267	1.869	0.27804	0.94176	0.061624	0.19836	0.0017833	1.869	0.27804	0.94176	0.061624	0.19836	-0.0068968	-0.15454	0.95408	0.99664	0.87719	0.94534	0.0086801	0.19449	0.93298	0.99843	0.84579	0.92574
slr1135	2	0.0025869	0.31557	0.94881	0.99804	0.75233	0.85491	0.00032337	0.31557	0.94881	0.99804	0.75233	0.85491	-0.11658	-2.4293	0.2372	0.88345	0.015127	0.096057	0.11691	2.4359	0.23486	0.88513	0.014854	0.093855
slr1134	5	0.0056689	1.0955	0.65787	0.99804	0.27331	0.47741	0.00070861	1.0955	0.65787	0.99804	0.27331	0.47741	-0.013748	-0.45404	0.86987	0.99664	0.6498	0.81332	0.014457	0.47742	0.85639	0.9919	0.63306	0.8008
slr1039	5	0.014221	2.5707	0.27823	0.9418	0.010149	0.061253	0.0017776	2.5707	0.27823	0.9418	0.010149	0.061253	0.054652	1.6835	0.40543	0.96827	0.092287	0.28972	-0.052874	-1.6284	0.42009	0.96629	0.10345	0.3071
fabF	5	-0.12905	-7.8684	0	0	3.5916e-15	5.9296e-13	-0.016131	-7.8684	0	0	3.5916e-15	5.9296e-13	0.20941	2.1769	0.013091	0.24101	0.029487	0.14329	-0.22554	-2.3443	0.0091833	0.18577	0.019065	0.1089
dnaE	5	0.012642	2.4931	0.32767	0.96066	0.012664	0.070833	0.0015802	2.4931	0.32767	0.96066	0.012664	0.070833	0.016421	0.55372	0.77003	0.99194	0.57977	0.77084	-0.01484	-0.50041	0.79386	0.99154	0.61679	0.79152
sll1068	5	-0.0089346	-1.4964	0.5805	0.99779	0.13455	0.31706	-0.0011168	-1.4964	0.5805	0.99779	0.13455	0.31706	-0.042776	-1.2223	0.55002	0.98143	0.22159	0.46709	0.04166	1.1903	0.55959	0.98127	0.23393	0.47872
psbL	3	-0.037761	-2.2961	0.14752	0.78077	0.02167	0.10269	-0.0047201	-2.2961	0.14752	0.78077	0.02167	0.10269	-0.10408	-1.0535	0.24678	0.89574	0.2921	0.54068	0.099364	1.0055	0.26065	0.90563	0.31467	0.56154
truA	5	-0.042342	-2.6842	0.042399	0.42466	0.0072713	0.047711	-0.0052927	-2.6842	0.042399	0.42466	0.0072713	0.047711	0.36336	3.6879	0	0	0.00022612	0.0048935	-0.36865	-3.7293	0	0	0.00019203	0.0043702
rps11	5	-0.092285	-4.5152	0.00019539	0.0092593	6.3249e-06	0.00012124	-0.011536	-4.5152	0.00019539	0.0092593	6.3249e-06	0.00012124	-0.096106	-0.77554	0.24228	0.88762	0.43802	0.67019	0.08457	0.68223	0.28664	0.92058	0.49509	0.70838
dnaK	5	-0.027297	-1.3414	0.16217	0.81373	0.17978	0.37298	-0.0034122	-1.3414	0.16217	0.81373	0.17978	0.37298	-0.30029	-2.5048	0.070145	0.60134	0.012251	0.083376	0.29688	2.4766	0.075225	0.61502	0.013264	0.087034
slr1033	5	0.010435	2.1363	0.41383	0.99779	0.032652	0.13385	0.0013044	2.1363	0.41383	0.99779	0.032652	0.13385	-0.074854	-2.6197	0.33275	0.94673	0.0087996	0.066717	0.076159	2.6652	0.32474	0.93845	0.0076932	0.059388
slr1034	5	-0.072762	-4.4989	0.0029308	0.069767	6.8294e-06	0.00013042	-0.0090953	-4.4989	0.0029308	0.069767	6.8294e-06	0.00013042	-0.202	-2.1237	0.11293	0.70352	0.033695	0.15649	0.1929	2.028	0.11997	0.71562	0.042562	0.17929
slr1035	5	-0.00027091	-0.057441	0.99121	0.99804	0.95419	0.97613	-3.3864e-05	-0.057441	0.99121	0.99804	0.95419	0.97613	0.0076869	0.27781	0.87124	0.99664	0.78116	0.8908	-0.0077208	-0.279	0.87495	0.99533	0.78025	0.89048
rps9	5	-0.069457	-3.8594	0.0037124	0.080169	0.00011365	0.0015721	-0.0086821	-3.8594	0.0037124	0.080169	0.00011365	0.0015721	0.26859	2.517	0.0019539	0.071429	0.011837	0.08154	-0.27727	-2.5968	0.0017585	0.06383	0.0094104	0.068413
slr1037	5	-0.015687	-1.3448	0.37515	0.98294	0.17869	0.37161	-0.0019609	-1.3448	0.37515	0.98294	0.17869	0.37161	-0.045757	-0.67043	0.52403	0.98134	0.50258	0.7185	0.043796	0.64167	0.54103	0.98127	0.52109	0.73007
dfrA	5	0.039586	3.5171	0.061352	0.52326	0.00043621	0.0049392	0.0049483	3.5171	0.061352	0.52326	0.00043621	0.0049392	0.033686	0.51153	0.58245	0.98872	0.60898	0.78746	-0.028738	-0.43635	0.63423	0.99154	0.66259	0.82078
ssr3409	5	0.015658	2.1053	0.24248	0.91183	0.035264	0.141	0.0019573	2.1053	0.24248	0.91183	0.035264	0.141	-0.060005	-1.3794	0.42009	0.96864	0.16778	0.40364	0.061962	1.4243	0.40621	0.96419	0.15436	0.38463
hliA2	4	-0.0032959	-0.49725	0.80617	0.99804	0.61901	0.76672	-0.00041198	-0.49725	0.80617	0.99804	0.61901	0.76672	0.02198	0.56671	0.72489	0.99194	0.57091	0.76792	-0.022392	-0.57729	0.72606	0.99154	0.56374	0.75867
fabD	5	0.0069071	0.77266	0.58441	0.99779	0.43973	0.63269	0.00086339	0.77266	0.58441	0.99779	0.43973	0.63269	0.043335	0.82614	0.49492	0.98134	0.40873	0.64524	-0.042471	-0.80953	0.51114	0.98127	0.41821	0.65137
purA	5	-0.041163	-3.365	0.047089	0.44879	0.0007655	0.0078513	-0.0051453	-3.365	0.047089	0.44879	0.0007655	0.0078513	0.37747	5.1863	0	0	2.1446e-07	1.8603e-05	-0.38261	-5.2519	0	0	1.505e-07	1.4002e-05
trxA	5	0.0003352	0.017156	0.97265	0.99804	0.98631	0.99232	4.19e-05	0.017156	0.97265	0.99804	0.98631	0.99232	-0.26335	-2.2979	0.084213	0.64627	0.021566	0.11818	0.26339	2.2984	0.086166	0.64905	0.021541	0.11791
ssr2333	5	-0.011158	-1.5263	0.50782	0.99779	0.12693	0.3047	-0.0013948	-1.5263	0.50782	0.99779	0.12693	0.3047	0.029506	0.68993	0.62368	0.99097	0.49024	0.70899	-0.0309	-0.72251	0.61665	0.99154	0.46998	0.69066
sll1081	5	0.016148	2.8763	0.2331	0.90498	0.0040231	0.030513	0.0020185	2.8763	0.2331	0.90498	0.0040231	0.030513	-0.035048	-1.0678	0.63091	0.99097	0.28559	0.53486	0.037066	1.1293	0.60922	0.99154	0.25877	0.50511
sll1080	5	0.0087148	1.0548	0.49238	0.99779	0.29149	0.49696	0.0010893	1.0548	0.49238	0.99779	0.29149	0.49696	-0.15167	-3.1382	0.1485	0.76124	0.0017	0.020974	0.15275	3.1606	0.14908	0.76747	0.0015743	0.019651
slr1396	5	0.008176	0.9298	0.52227	0.99779	0.35247	0.55543	0.001022	0.9298	0.52227	0.99779	0.35247	0.55543	-0.085427	-1.6593	0.28019	0.91338	0.097058	0.2987	0.086449	1.679	0.27843	0.92	0.093146	0.2898
sll1084	5	-0.0077733	-1.243	0.62544	0.99804	0.21388	0.41344	-0.00097166	-1.243	0.62544	0.99804	0.21388	0.41344	0.058739	1.6029	0.37339	0.96048	0.10896	0.31995	-0.059711	-1.6292	0.37261	0.95224	0.10328	0.3068
slr2052	5	-0.0265	-2.6494	0.17311	0.83679	0.0080629	0.051609	-0.0033125	-2.6494	0.17311	0.83679	0.0080629	0.051609	-0.00013105	-0.0022318	0.96249	0.99664	0.99822	0.99959	-0.0031815	-0.054172	0.92927	0.99843	0.9568	0.98139
cpcD	5	0.024231	3.5315	0.1272	0.73893	0.00041323	0.0047208	0.0030289	3.5315	0.1272	0.73893	0.00041323	0.0047208	-0.14255	-3.5512	0.15553	0.78116	0.00038348	0.0072961	0.14558	3.6265	0.15436	0.77527	0.00028724	0.0058337
ssr2848	5	1.6382e-05	0.0046131	0.9914	0.99804	0.99632	0.99756	2.0478e-06	0.0046132	0.9914	0.99804	0.99632	0.99756	0.036674	1.7598	0.55725	0.98143	0.078444	0.26247	-0.036672	-1.7594	0.56272	0.98127	0.078514	0.26096
slr2053	5	0.010306	1.5276	0.41989	0.99779	0.12662	0.30445	0.0012882	1.5276	0.41989	0.99779	0.12662	0.30445	0.021041	0.53279	0.71415	0.99194	0.59418	0.77884	-0.019753	-0.50013	0.73877	0.99154	0.61699	0.79152
